Scaffold,count,mean,median
C(=C1\Nc2ccccc2S1)/c1cc[nH+]c2ccccc12,14,7.590109135273307,7.527310937020445
C(/C=C/c1[nH+]c2ccccc2s1)=C1\Nc2ccccc2S1,7,7.549924202165353,7.552841968657781
c1ccc(-c2ccc(OCC3Cn4ccnc4O3)cn2)cc1,6,7.549594910592412,7.4604093769761874
N=C(Nc1ccc(-c2ccc(-c3ccc(NC(=N)c4ccccn4)cc3)o2)cc1)c1ccccn1,6,7.4682953354211,7.631403678647631
C(/C=C/c1[nH+]c2ccccc2o1)=C1\Nc2ccccc2S1,13,7.344012651427592,7.214670164989233
c1ccc2[o+]c3cc(N4CCCCC4)ccc3nc2c1,6,7.31395451754216,7.431322944314633
c1ccc(-c2ccc(OCC3CCn4ccnc4O3)nc2)cc1,5,7.2173432196479155,7.154901959985743
c1ccc(OCC2CCn3ccnc3O2)cc1,8,6.901122224326355,6.8979400086720375
O=c1[nH]/c(=C/c2[nH+]c3ccccc3s2)s/c1=C\C=C1\Nc2ccccc2S1,5,6.88296290195283,7.205416304726976
c1ccc(-c2ccc(OCC3CCn4ccnc4O3)cn2)cc1,6,6.850776723749395,6.8652435278910415
c1ccc(OCC2CCn3ccnc3O2)nc1,5,6.836725222249527,6.823908740944319
C(/C=C/c1[nH+]c2ccccc2o1)=C1\Nc2ccccc2O1,6,6.783615764889304,6.817162429772041
c1ccc(OCC2Cn3ccnc3O2)cc1,11,6.782627924191015,6.920818753952375
c1cncc(OCC2CCn3ccnc3O2)c1,6,6.463171784593012,6.289198036565084
c1ccc(-c2ccc(CO[C@H]3COc4nccn4C3)nc2)cc1,5,6.459287795726672,6.508638306165727
c1ccc(Nc2nc(-c3ccccn3)cs2)nc1,17,6.455936897495449,6.301029995663981
c1ccc(CCNc2ccnc(-c3ccccn3)n2)cc1,9,6.015464683926746,6.301029995663981
c1ccc(-c2ccnc3ccccc23)cc1,5,5.994861470455196,5.844663962534938
N=C(Nc1ccc(-c2ccc(-c3ccccc3)o2)cc1)c1ccccn1,8,5.924006865897475,5.922331981267469
O=C1C=C(Oc2ccccc2)C(=O)c2cc3ccccc3cc21,17,5.9075863223686715,5.935542010773082
O=c1[nH]c(=O)n([C@H]2CCCO2)cc1-c1cc(-c2ccccc2)on1,7,5.888481894226722,6.107905397309519
O=C(Nc1ccccc1-c1nc2ccccc2o1)c1ccccc1,5,5.857190565631348,5.761953896871205
N=C1NCCN1CCCC[C@H]1CNC(=N)N1CCc1ccccc1,8,5.7696302225363745,5.761439372640169
C(#Cc1cnc2n1CCO2)c1ccccc1,6,5.720195734366125,5.7309142884985915
c1ccc2oc(CCc3cc4ccccc4o3)cc2c1,5,5.712430796989188,5.705533773838408
C(=C\c1ccc2ccccc2n1)/c1ccccc1,11,5.696969424387629,5.795880017344075
O=S(=O)(Cc1cn2cccc(Sc3ccccc3)c2n1)c1ccccc1,23,5.671287457821175,5.823908740944319
c1ccc2c(c1)C[C@H]1C[C@@H]3C[C@@H]3CC1O2,5,5.624738211792197,5.559045290337604
c1ccc(-c2nc3ccccn3c2NC2CCCC2)nc1,5,5.605389995789092,5.72584215073632
C(=N\N=C\c1ccco1)/c1ccccc1,9,5.570545715901237,5.559593203859604
c1ccc(Nc2ncnc(NCCCCOc3ncnc(Nc4ccccc4)n3)n2)cc1,6,5.489821972376807,5.474093925564652
c1ccc(-c2ccno2)cc1,16,5.472492338596243,5.514611466374321
O=C(NCc1ccccc1)c1cnoc1-c1ccccc1,14,5.451615163338888,5.499619597652785
O=C1C=COC12Cc1ccccc1O2,8,5.45010112459261,5.422635896279922
c1cc2c(cc1C1CCCCC1)COC2,5,5.447828687819493,5.187086643357144
O=C1C=C(Oc2ccccc2)C(=O)c2ccccc21,37,5.432800875511775,5.467245621007502
O=C1NC=C(C(=O)Nc2ccccc2)C(c2ccccc2)N1,5,5.426918690512424,5.521433504406156
O=c1[nH]c(=O)n([C@H]2CCCO2)cc1-c1ccon1,6,5.400351217135694,5.186445144394431
c1ccc2c(c1)C[C@H]1C[C@H]3C[C@H](C3)C1O2,11,5.39850222567625,5.306636439218433
c1ccc(COC(CCn2ccnc2)c2ccco2)cc1,5,5.369682213757963,5.376750709602099
c1ccc2oc(CCCCCc3cc4ccccc4o3)cc2c1,6,5.357730904044515,5.269806696356896
C1=C2CCCCC2[C@H]2CCC3[C@@H](CNCc4c[nH]nn4)CC[C@H]3[C@@H]2C1,12,5.352937439532126,5.251811972993799
O=C(Nc1ccccc1)c1ccccc1,22,5.350093126801398,5.407285589389666
c1ccc(Nc2c(-c3ccccn3)nc3ccccn23)cc1,30,5.345469887273904,5.501164856516155
O=C(CN(Cc1ccccc1)C(=O)c1cc2ccccc2[nH]1)NCc1ccccc1,12,5.341603407060387,5.162799093577359
C=C1CCCCC1,14,5.334451785911133,5.278894992457182
c1ccc(COc2ccc(CNCc3ccc(OCc4ccccc4)cc3)cc2)cc1,5,5.323807238759299,6.0
O=C(C(=O)N1CCc2c([nH]c3ccccc23)[C@H]1c1ccccc1)c1c[nH]c2ccccc12,10,5.3190227665258565,5.340088998658425
C1=C/C(=C(\c2ccccc2)c2ccc[nH]2)N=C1,5,5.315178988661822,5.281498311132726
c1ccc(Sc2ccccc2)cc1,15,5.312399141215208,5.721123003051012
c1ccc2c(c1)CC[C@H]1CCCCC21,13,5.301354747605513,5.292429823902063
c1ccc(C(c2nnn[nH]2)N2CCc3c([nH]c4ccccc34)C2)cc1,11,5.259442523781243,5.167453521816471
c1ccc(-c2c[nH]cc2C(c2ccccc2)n2ccnc2)cc1,15,5.255709122252336,5.258848401148216
O=C1CNCc2c1cnn2-c1ccccc1,7,5.251260022992118,5.321392882524995
c1ccc(CCC[C@H]2CO[C@@H]3OC4CC[C@H]5CCC[C@@H]2[C@]53OO4)cc1,12,5.241358686911318,5.309941513340933
O=c1occcc1Cc1ccccc1,8,5.234866844836694,5.285285367809106
c1ccc(-c2cc(NCCNc3ccnc4ccccc34)no2)cc1,7,5.230021521478898,5.095751034391009
O=C(C(=O)N1CCc2c([nH]c3ccccc23)[C@@H]1c1ccccc1)c1c[nH]c2ccccc12,6,5.219678271042788,5.226252946362042
O=C1NC(c2ccc(-c3cc(-c4ccccc4)ncn3)cc2)Nc2ccccc21,8,5.213764158381587,5.234318670928474
c1ccc(-c2ccsc2)cc1,5,5.212755116386805,5.337242168318426
c1ccc(Nc2nc(-c3ccccn3)cs2)cc1,11,5.202703675784704,5.399999810066487
O=C(Cn1cncn1)N1CCN(c2ccccc2)CC1,6,5.200765067723338,4.997893955088848
c1ccc(COC(CCn2ccnc2)c2cccs2)cc1,5,5.195961798211693,5.170696227168975
O=C(Nc1ncc(-c2ccccc2)[nH]1)c1ncc[nH]1,9,5.155403985625376,5.09151498112135
O=c1cc(Sc2ccccc2)c2ccccc2[nH]1,18,5.105666737273243,5.0
c1ccc(Oc2ccccc2)cc1,6,5.102297187563392,5.044427939422521
c1ccc2c(c1)ncc1cccn12,14,5.0663200297288515,5.037137736531968
c1ccc(OCc2ncc[nH]2)cc1,7,5.064717439669421,5.137862065199606
O=c1cc(Oc2ccccc2)c2ccccc2[nH]1,19,5.054644949942038,5.0
O=C1NC(c2ccc(NC(c3ccccc3)c3nnn[nH]3)cc2)Nc2ccccc21,6,5.049562335019311,5.133302958660353
c1ccc(CNc2cc(-c3ccccc3)on2)cc1,9,5.04594633869986,5.133742809786517
O=C(/C=C/c1cccnc1)c1ccccc1,5,5.045314025982533,5.022276394711152
O=C1O[C@@H]2OC3CCC4CCC[C@@H]([C@H]1CCCc1ccccc1)[C@]42OO3,8,5.0450739722793925,4.929997524690275
c1ccc2c(NCCSc3nnc4c(n3)[nH]c3ccccc34)ccnc2c1,13,5.038878123614849,5.094850129479916
O=C1/C(=C/c2ccccc2)CN(C(=O)c2cc(/C=C/C3C=CCCC3)on2)C/C1=C\c1ccccc1,7,5.028705710182209,5.214670164989233
C1CCCCC1,7,5.0201210386365975,4.987162775294828
c1ccc(CNc2nc(N3CCCCC3)c3ccc(OC4CCCC4)cc3n2)cc1,11,5.016321870250156,5.016373712875465
c1ccc(-c2cc3ccccc3o2)cc1,30,5.008857382410667,4.869964306007462
O=C(OCc1cn(-c2ccccc2)nn1)c1cnc2ccccc2c1-c1ccccc1,12,5.004796488504277,5.038725489996436
O=C(OCc1cn(Cc2ccccc2)nn1)c1cnc2ccccc2c1-c1ccccc1,13,5.003392942524745,5.0
c1ccc(-c2cnc3n2CCO3)cc1,10,5.0,5.0
O=C1CN(/N=C/c2ccco2)C(=O)N1CCCCCn1cc(-c2ccccc2)nn1,5,5.0,5.0
O=C1CN(/N=C/c2ccco2)C(=O)N1CCCCCCn1cc(-c2ccccc2)nn1,5,5.0,5.0
c1ccc(Nc2ccnc3ccccc23)cc1,9,4.9904328849388895,5.1938200260161125
O=c1cc(-c2ccccc2)c2ccccc2[nH]1,8,4.969763341382353,4.998889346170766
c1ccc(CNC(CN2CCNCC2)c2ccccc2)cc1,7,4.968188365199714,4.948273430270857
c1ccc(COc2ccccc2)cc1,28,4.965005580734581,5.121709709032883
c1ccc(CNc2nc(N3CCCCC3)c3ccccc3n2)cc1,5,4.937324973761794,4.913996294381618
S=C1SCNCN1CCCCCCN1CNCSC1=S,9,4.935865049904225,5.129011186239424
O=C1/C(=C/c2ccccc2)Oc2cc(OCCCN3CCCC3)ccc21,5,4.929422960793671,4.853871964321762
c1ccc(-c2ccc(-c3ccccc3)o2)cc1,8,4.924666238648413,4.915978129486653
O=C(/C=C/c1ccccc1)c1ccccc1,90,4.922858693673852,4.823908740944319
O=S(=O)(Nc1ccccc1)c1ccccc1,26,4.921635025744521,4.958607314841775
O=C(/C=C/c1ccccc1)c1ccc2c(c1)C=CCO2,22,4.911782561496223,4.80466489368691
c1cc(-c2cc3cc(C4=NCCN4)ccc3o2)ccc1C1=NCCN1,6,4.90160620752621,4.963324148806549
c1ccc(-c2nc3cnccn3c2-c2ccncn2)cc1,8,4.89672184714015,4.943237219717384
O=C(CN1CCN(c2ccccc2)CC1)N1CCN(c2ccccc2)CC1,5,4.894963514250013,4.743570917696752
c1ccc(-c2nc3ccccn3c2NC2CCCC2)cc1,6,4.876844631607083,4.890942406847726
O=C1O[C@@H]2OC3CC[C@H]4CCC[C@@H]([C@H]1CCCc1ccccc1)[C@]42OO3,8,4.875526058759677,4.884286745032815
c1ccc(OCCCOc2ccccc2)cc1,7,4.867031870671034,4.790484985457369
c1ccc([C@@H]2Cc3ccccc3O2)cc1,65,4.857751961846572,4.882728704344236
c1ccc(-c2nc3ccccc3nc2-c2ccccc2)cc1,11,4.836813892959873,4.899974269892137
O=C(COc1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1)Nc1ccccc1,12,4.835040893237058,4.741654058151733
c1cn(CCCNC[C@@H]2CCOOC2)cn1,5,4.832523084420775,5.019289452966776
c1ccc(C(c2nnnn2C2CCCCC2)N2CCc3c([nH]c4ccccc34)C2)cc1,9,4.828103084774806,4.541773025725037
O=C1CCCC(=O)C1=C/C=C/c1ccccc1,6,4.8068190384591984,4.819114462755197
O=C(NCc1ccccc1)c1cc(COc2ccc3scnc3c2)on1,7,4.805896194889137,4.651695136951839
c1ccc2nc(NC3CCCCC3)cnc2c1,5,4.80028542504272,5.0
O=C(C1=CC2CCCC(C1=O)C2=O)c1ccccc1,14,4.794284227916057,4.797699269568405
C1=C2CCCCC2[C@H]2CCC3CCC[C@H]3[C@@H]2C1,6,4.759325867346988,5.0
c1ccc(Cn2cncc2CNc2cc(-c3ccccc3)cs2)cc1,6,4.756489246334584,4.1249387366083
c1ccc(C(c2ccn(-c3ccccc3)c2)n2ccnc2)cc1,16,4.75169099211521,4.711782329412978
O=C1C=Cc2cccc3cccc1c23,15,4.736347628799062,4.6020599913279625
O=C1/C(=C/c2ccccc2)Oc2cc(OCCN3CCCC3)ccc21,5,4.716569989322976,4.801342913045578
c1ccc(CNc2ncnc3[nH]cnc23)cc1,5,4.712368631087322,4.774690718274137
C1C2CC3CC1CC(C2)C3,7,4.701387394437055,5.39577394691553
C=C(Cc1ccccc1)C(=O)OCCOC(=O)C(=C)Cc1ccccc1,7,4.696535122858083,4.3729415359990105
c1ccc(CNc2ccccc2)cc1,17,4.692780399377937,4.742363730576095
c1ccc2[nH]ccc2c1,19,4.690764565956512,5.0
c1ccc2ncccc2c1,57,4.679589428035817,4.4723700991286615
C1=C(/C=C/C2=NN(c3ccccc3)C(c3ccccc3)C2)CCCC1,9,4.654005391457957,4.698970004336019
O=S(=O)(c1ccccc1)N1CCCc2ccccc21,16,4.634299627517515,4.625354667658459
c1ccc(/N=c2/cc3oc4ccccc4nc-3c3ccccc23)cc1,9,4.616398956129632,4.632644078973981
O=C(Nc1ccc(-c2nccc3c2[nH]c2ccccc23)cc1)c1ccccc1,8,4.615746542855355,4.8643045894141945
c1ccc(OCCc2cnc(C3CCCNCC3)s2)cc1,9,4.608524288819248,4.549442431554664
c1ccc(CNCCCn2ccnc2)cc1,10,4.599468960503952,4.5847040967037795
O=C1CCCC2=C1C(c1cn([C@H]3CCCO3)c(=O)[nH]c1=O)C=CO2,9,4.584445503268095,4.16304326294045
,55,4.579686413783138,4.0
C1=CC(/C=C/C2=NN(c3ccccc3)C(c3ccccc3)C2)CCC1,5,4.578558006070426,4.698970004336019
c1ccc(CNCc2ccccc2)cc1,6,4.574928627453503,4.431124733159351
O=c1ccc2ccccc2[nH]1,16,4.567253054345658,4.301029995663981
c1ccc(OCCCCCOc2ccccc2)cc1,20,4.561430729388146,4.301029995663981
C1C[C@@H]2CCC3OO[C@@]24[C@@H](C1)CO[C@@H]4O3,5,4.524239212915962,4.616319790570831
O=C(Nc1ncc(-c2ccccc2)[nH]1)c1ccccc1,59,4.523759867768383,4.301029995663981
C1COOC1,17,4.510156744238945,4.303032359255977
c1ccc(CCN2CCCCC2)cc1,38,4.490570625364339,4.3647747160975
O=C1C=C(NCc2cn(-c3ccccc3)nn2)CO1,20,4.485326798998152,4.451544993495972
C1=CC(/C=C/c2cc(-c3ccccc3)n(-c3ccccc3)n2)CCC1,5,4.458146007804833,4.3979400086720375
c1ccn2ccnc2c1,8,4.455616474206393,4.301029995663981
O=S(=O)(Cc1cn2ccccc2n1)c1ccccc1,26,4.451629362287475,4.301029995663981
c1ccc(-c2nccc3c2[nH]c2ccccc23)cc1,6,4.450679576034148,4.165946881033634
c1ccccc1,152,4.424544561395286,4.263318664466988
c1cc(C2=NCCN2)ccc1OCCCCCOc1ccc(C2=NCCN2)cc1,7,4.406008422530214,4.279014255846261
C1CCOOC1,5,4.3979400086720375,4.3979400086720375
c1ncc2ncn([C@H]3CCCO3)c2n1,15,4.393167727325422,3.995678626217358
c1ccc2[nH]nnc2c1,11,4.384469284915581,4.193507465740234
O=C1C=CC2CC[C@@H]3C4CC[C@H](O[C@@H]5OCCC[C@H]5O[C@H]5CCCCO5)C[C@@H]4CC[C@H]3[C@@H]12,6,4.380989863779057,4.398535264372625
O=C(c1ccc(COc2ccccc2)cc1)N1CCCCC1,5,4.374942580809056,4.447331783887806
c1ccc(Cn2ccnn2)cc1,5,4.372640797762851,4.221848749616356
O=C1C[C@@H]2CCCC3CCC4OO[C@]32[C@H](O1)O4,13,4.367943950242871,4.410050398674292
O=C1c2c(OCc3ccccc3)cccc2[C@H]2C=CC1NN2,15,4.364928339010174,4.266802734893431
C1C[C@@H]2CCC3OO[C@@]24[C@@H](C1)CCO[C@@H]4O3,15,4.352390160430009,4.330164987877772
C1=NCCc2c1cccc2-c1ccccc1,8,4.350880476895345,4.366639616447959
c1ccc(OCCCCCOc2ccccn2)nc1,6,4.349530255319625,4.150514997831991
c1ccc(C[n+]2ccc3c(c2)[nH]c2ccccc23)cc1,10,4.344487593419677,4.3451976900298686
O=C(NCc1ccccc1)C1=NN(c2ccccc2)C(=O)CN1,6,4.336873904744543,4.300000029139089
c1ccc2c(c1)[nH]c1cnccc12,12,4.333594624722473,4.0
O=C1C[C@@H]2CCC[C@@H]3CCC4OO[C@]32[C@H](O1)O4,12,4.331621112353921,4.390694471501837
c1ccc(-c2cn(-c3ccccc3)nn2)cc1,41,4.327587122225314,4.0
c1nc(N2CCNCC2)c2ccsc2n1,5,4.300000029139089,4.300000029139089
c1ccc2nccnc2c1,16,4.2913988562290815,4.301029995663981
c1c[nH]nn1,29,4.283317334374941,4.2441251443275085
c1ccc(CC2c3ccccc3Cn3cccc32)cc1,7,4.269063027431093,4.335504572275285
c1cc(C2=NCCN2)cc(-c2cn(-c3cccc(C4=NCCN4)c3)nn2)c1,5,4.261960783994297,4.0
O=C1CC(c2ccccc2)CC2=C1C(c1cn([C@H]3CCCO3)c(=O)[nH]c1=O)C=CO2,5,4.251692056236878,4.066006836168758
c1ccc(-c2c[nH]nn2)cc1,5,4.249634104507774,4.309803919971486
O=C1CSC(c2cn([C@H]3CCCO3)c(=O)[nH]c2=O)N1c1ccccc1,5,4.240823996531185,4.301029995663981
O=C1c2ccccc2[C@H]2C=CC1NN2,13,4.191860017979412,4.189767482004916
O=C(Nc1cc2ccccc2[nH]c1=O)c1ccccc1,7,4.172467090749393,4.0
O=c1ccn([C@H]2CCCO2)c(=O)[nH]1,14,4.135370720419439,4.026970469807438
c1ccc(N2CCN(CCCn3cncn3)CC2)cc1,5,4.13173208283264,3.7608256958219215
c1cc(-c2cn(-c3ccc(C4=NCCN4)cc3)nn2)ccc1C1=NCCN1,5,4.123957751657679,4.0
O=c1c(-c2ccccc2)coc2ccccc12,6,4.116912314906183,4.19996027886924
c1cc(C2=NCCN2)cc(-c2cn(-c3ccc(C4=NCCN4)cc3)nn2)c1,5,4.073306308884083,4.0
c1cc(C2=NCCN2)cc(-n2cc(-c3ccc(C4=NCCN4)cc3)nn2)c1,5,4.0,4.0
C1=C[C@@]23CCCCC2OC1OO3,5,4.0,4.0
C1=Cc2nc1cc1ccc([nH]1)c(-c1ccccc1)c1nc(cc3ccc([nH]3)c2-c2ccccc2)C=C1,5,4.0,4.0
c1ccncc1,8,3.9891815752283657,3.6989700043360174
O=C(Nc1ccccn1)c1ccccc1,9,3.986641543771407,3.91721462968355
O=c1cccc(/C=C/c2ccccc2)o1,5,3.973458559007341,3.721246399047171
c1ccc2c(c1)[nH]c1c[nH+]ccc12,13,3.9722973363510095,3.9097419470686834
O=c1[nH]c(=O)n([C@H]2CCCO2)cc1C1C=COc2cc[nH]c(=O)c21,6,3.9375681391214408,3.6989700043360174
c1ccc2c(-c3ccc4c(c3)CNCC4)cccc2c1,5,3.9370223861282923,3.8655041441653264
O=C(CCc1cc2ccccc2[nH]1)OCc1cn(-c2ccccc2)nn1,6,3.920518836883718,3.9074945343526686
O=C(CCc1ccccc1)OCc1cn(-c2ccccc2)nn1,6,3.8666053583955287,3.858461190968869
O=C(OCc1cn(-c2ccccc2)nn1)[C@@H]1CCCN1,6,3.8660267004760183,3.8593633955407887
C(=N\n1cnnc1-c1cnccn1)/c1ccccc1,12,3.80455678180334,3.8340839777818756
S=C(Nc1ccccc1)Nn1cnnc1-c1cnccn1,6,3.678170269094167,3.5908196424093277
c1ccc2c(c1)OCO2,7,3.3455635325586073,3.3806257803593773
